1,MILLICAN HALL,MH,"4365 Andromeda Loop N., Orlando, FL 32816"
2,JOHN C. HITT LIBRARY,LIB,"12701 Pegasus Dr., Orlando, FL 32816"
4,STORM WATER RESEARCH LAB,SWL,"12845 Ara Dr., Orlando, FL 32816"
5,CHEMISTRY BUILDING,CHEM,"4104 Libra Dr., Orlando, FL 32816"
6,THEATRE,TH,"12722 Pegasus Dr., Orlando, FL 32816"
7B,JIMMIE A. FERRELL STUDENT SERVICES COMMONS,FC-B,"4157 Pyxis Ln., Orlando, FL 32816"
7C,JIMMIE A. FERRELL STUDENT SERVICES COMMONS,FC-C,"4151 Pyxis Ln., Orlando, FL 32816"
7D,JIMMIE A. FERRELL STUDENT SERVICES COMMONS,FC-D,"4121 Pyxis Ln., Orlando, FL 32816"
7E,JIMMIE A. FERRELL STUDENT SERVICES COMMONS,FC-E,"4127 Pyxis Ln., Orlando, FL 32816"
7F,JIMMIE A. FERRELL STUDENT SERVICES COMMONS,FC-F,"4139 Pyxis Ln., Orlando, FL 32816"
7G,JIMMIE A. FERRELL STUDENT SERVICES COMMONS,FC-G,"4145 Pyxis Ln., Orlando, FL 32816"
7H,JIMMIE A. FERRELL STUDENT SERVICES COMMONS,FC-H,"4133 Pyxis Ln., Orlando, FL 32816"
8,VOLUSIA HALL  ,VOL,"4132 Pyxis Ln., Orlando, FL 32816"
9,LAKE HALL   ,LAK,"4120 Pyxis Ln., Orlando, FL 32816"
10,OSCEOLA HALL   ,OSC,"4108 Pyxis Ln., Orlando, FL 32816"
11,POLK HALL   ,POL,"4096 Pyxis Ln., Orlando, FL 32816"
12,MATHEMATICAL SCIENCES BUILDING,MSB,"4393 Andromeda Loop N., Orlando, FL 32816"
13,TECHNOLOGY COMMONS I,TC1,"12704 Pegasus Dr., Orlando, FL 32816"
14,HOWARD PHILLIPS HALL,HPH,"4297 Andromeda Loop N., Orlando, FL 32816"
16A,FACILITIES & SAFETY - A,FSC-A,"3528 N. Perseus Loop, Orlando, FL 32816"
16B,FACILITIES & SAFETY - B ,FSC-B,"3528 N. Perseus Loop, Orlando, FL 32816"
16C,FACILITIES & SAFETY - C ,FSC-C,"3534 W. Perseus Loop, Orlando, FL 32816"
16D,FACILITIES & SAFETY - D ,FSC-D,"3546 S. Perseus Loop, Orlando, FL 32816"
16E,FACILITIES & SAFETY - E ,FSC-E,"3540 E. Perseus Loop, Orlando, FL 32816"
19,REHEARSAL HALL,RH,"12784 Aquarius Agora Dr., Orlando, FL 32816"
20,BIOLOGICAL SCIENCES BUILDING,BIO,"4110 Libra Dr., Orlando, FL 32816"
21,EDUCATIONAL COMPLEX & GYM,ED,"12494 University Blvd., Orlando, FL 32816"
22,PRINT SHOP,PRNT,"3987 Libra Dr., Orlando, FL 32816"
24,CREATIVE SCHOOL FOR CHILDREN I,CSC1,"12852 Gemini Blvd. S., Orlando, FL 32816"
25,RECREATION SUPPORT BUILDING      ,RSB,"12625 Scholarship Dr., Orlando, FL 32816"
26,JOHN T. WASHINGTON CENTER,JTWC,"12795 Aquarius Agora Dr., Orlando, FL 32816"
27,COUNSELING & PSYCHOLOGICAL SERVICES,CAPS,"4090 Libra Dr., Orlando, FL 32816"
28,CREATIVE SCHOOL II,CS2,"12840 Gemini Blvd. S., Orlando, FL 32816"
29,TECHNOLOGY COMMONS II,TC2,"12710 Pegasus Dr., Orlando, FL 32816"
30,BREVARD HALL  ,BRE,"4048 Libra Dr., Orlando, FL 32816"
31,ORANGE HALL  ,ORG,"4032 Libra Dr., Orlando, FL 32816"
32,SEMINOLE HALL  ,SEM,"4008 Libra Dr., Orlando, FL 32816"
33,LIBRA COMMUNITY CENTER,LCC,"4040 Libra Dr., Orlando, FL 32816"
40,ENGINEERING I,ENG1,"12760 Pegasus Dr., Orlando, FL 32816"
